num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
2,100000,10000,1,0.00219433,20,0.00136192,30,0.000121583,30,0.00382649,30,8731701,15852
3,100000,10000,1,0.0028452,30,0.00346519,60,0.000131316,70,0.00659651,70,15650345,20271
4,100000,10000,1,0.00333647,40,0.00656345,100,0.000150964,150,0.0101773,150,24487216,17669
5,100000,10000,1,0.00412388,50,0.0107445,150,0.000321736,310,0.0153522,310,36680821,19548
6,100000,10000,1,0.00447801,60,0.0160589,210,0.000635853,630,0.0213082,630,51944175,23033
7,100000,10000,1,0.00539195,70,0.022246,280,0.00148494,1270,0.0292665,1270,71037782,23457
8,100000,10000,1,0.00571106,80,0.029782,360,0.00357317,2550,0.039197,2550,96383061,28865
9,100000,10000,1,0.0070581,90,0.03813,450,0.00897649,5110,0.0542889,5110,131357243,31892
10,100000,10000,1,0.00675205,100,0.0475289,550,0.0221565,10230,0.0765563,10230,189593972,40021
11,100000,10000,1,0.00777971,110,0.0581935,660,0.054416,20470,0.120557,20470,298068235,57821
12,100000,10000,1,0.00812574,120,0.0697137,780,0.130769,40950,0.208792,40950,519398610,76794
13,100000,10000,1,0.00854432,130,0.0829277,910,0.312236,81910,0.403846,81910,1003837668,120189
14,100000,10000,1,0.00924809,140,0.0958274,1050,0.76516,163830,0.870385,163830,2170561487,180997
