num_col,size_col,size_chunk,canopy_size,cycles,cache-misses,time
2,1000,100,30,39826,43,2.026e-06
3,1000,100,70,82422,462,6.915e-06
4,1000,100,150,142002,704,9.079e-06
5,1000,100,310,161355,750,1.2712e-05
6,1000,100,630,125539,844,1.9696e-05
7,1000,100,1270,147307,887,3.0662e-05
8,1000,100,2550,246537,1182,5.1265e-05
9,1000,100,5110,299202,1268,9.0589e-05
10,1000,100,10230,363887,41,0.000130329
11,1000,100,20470,683832,31,0.000259752
12,1000,100,40950,1324382,42,0.000514824
13,1000,100,81910,2642050,160,0.00104013
14,1000,100,163830,5370813,1902,0.00212942
15,1000,100,327670,12480488,21830,0.00495624
16,1000,100,655350,29865883,95878,0.011914
17,1000,100,1310710,62094933,231596,0.0247947
18,1000,100,2621430,127677886,529742,0.0510572
19,1000,100,5242870,244924031,907464,0.0979831
