num_col,size_col,size_chunk,canopy_size,level_one_time,level_two_time,cycles,cache-misses,time
2,1000000,1000,2000,0.0110137,0.0107073,54147552,12295,0.0107073
3,1000000,1000,3000,0.0166759,0.0319817,121700387,45764,0.0319817
4,1000000,1000,4000,0.022718,0.0643141,217844105,93634,0.0643141
5,1000000,1000,5000,0.0288671,0.107751,340795274,151209,0.107751
6,1000000,1000,6000,0.0347988,0.161804,491705333,225694,0.161804
7,1000000,1000,7000,0.0406713,0.227328,668355612,288721,0.227328
8,1000000,1000,8000,0.0466787,0.303875,875620081,357338,0.303875
9,1000000,1000,9000,0.0524155,0.390592,1104916854,426899,0.390592
10,1000000,1000,10000,0.0583008,0.487628,1363898426,492393,0.487628
11,1000000,1000,11000,0.0639048,0.595931,1647244095,571282,0.595931
12,1000000,1000,12000,0.0699989,0.721151,1976192104,674555,0.721151
13,1000000,1000,13000,0.0757331,0.852819,2316286874,763688,0.852819
14,1000000,1000,14000,0.0819484,0.995218,2689439118,831556,0.995218
15,1000000,1000,15000,0.0871421,1.14723,3078994077,931826,1.14723
16,1000000,1000,16000,0.0937267,1.31134,3509315961,1024806,1.31134
17,1000000,1000,17000,0.0987001,1.49033,3961675601,1179430,1.49033
18,1000000,1000,18000,0.105351,1.6734,4442066874,1277320,1.6734
19,1000000,1000,19000,0.110978,1.87136,4943365962,1400326,1.87136
